topic_id,documents,median_relative_contribution,median_relative_margin,margin_below_005_fraction
163,156,0.26645327,0.06899941,0.3525641
164,296,0.23354226,0.038363695,0.5709459
165,360,0.25645477,0.050479207,0.49444443
166,254,0.36547762,0.14628875,0.27165353
167,437,0.2681221,0.066005476,0.39816934
168,602,0.5092609,0.2671454,0.12292359
169,445,0.24228281,0.06150444,0.40674156
170,336,0.23255879,0.053617276,0.4672619
171,576,0.27875918,0.08813503,0.328125
172,303,0.3720155,0.109827764,0.26072606
173,125,0.23539667,0.03011252,0.648
174,481,0.23228844,0.050833028,0.4864865
175,321,0.19473885,0.035242006,0.67601246
176,249,0.2465648,0.03764234,0.61445785
177,72,0.27874815,0.05452897,0.4861111
178,323,0.25792587,0.049636394,0.504644
179,288,0.2555321,0.045371115,0.5277778
180,340,0.2964413,0.08884046,0.29705882
181,216,0.2848509,0.048326805,0.5138889
182,288,0.2236672,0.03189835,0.6423611
183,340,0.2656546,0.07537012,0.3382353
184,121,0.25165918,0.029015519,0.6528926
185,292,0.31296268,0.074883014,0.41095892
186,101,0.32632154,0.122400135,0.1980198
187,207,0.22136982,0.034985334,0.6183575
188,393,0.3662473,0.13024454,0.2519084
189,112,0.19193268,0.023124598,0.77678573
190,368,0.26117754,0.049482606,0.5027174
191,366,0.2742807,0.072761886,0.40163934
192,568,0.27841175,0.06257222,0.4225352
193,441,0.28803322,0.07129979,0.3696145
194,401,0.3387735,0.14190373,0.20199502
195,201,0.32238272,0.08578599,0.3482587
196,301,0.2663226,0.059522558,0.4451827
197,169,0.22649157,0.027441666,0.6627219
198,248,0.3091401,0.13699561,0.24596775
199,170,0.28584468,0.043864153,0.5411765
200,265,0.23086843,0.044337206,0.5509434
201,392,0.2712838,0.05960013,0.44132653
202,350,0.22042803,0.052502416,0.48
203,298,0.28890106,0.08618972,0.33892617
204,304,0.27358395,0.05666956,0.44407895
205,275,0.22069508,0.04221431,0.57454544
206,70,0.17588276,0.012550686,0.8142857
207,272,0.2401483,0.048796654,0.5036765
208,212,0.24194181,0.047376707,0.5330189
209,346,0.20150799,0.035937503,0.6676301
210,328,0.22852659,0.035282493,0.652439
211,297,0.20638482,0.039218612,0.6060606
212,169,0.27828863,0.06473963,0.43195266
213,367,0.29037088,0.08195831,0.30790192
214,371,0.25761226,0.058723345,0.43665767
215,285,0.28280282,0.058355,0.4526316
216,253,0.22720684,0.05801811,0.45454547
217,171,0.6921406,0.45274508,0.09356725
218,327,0.25069898,0.07379099,0.36391437
219,296,0.25024784,0.069697365,0.35135135
220,157,0.24085535,0.039107244,0.5732484
